CustomerId,CredRate,Geography,Gender,Age,Tenure,Balance,Prod Number,HasCrCard,ActMem,EstimatedSalary,Exited
15634602,619,France,Female,42,2,0,1,1,1,91213.992,1
15647311,608,Spain,Female,41,1,75427.074,1,0,1,101288.322,0
15619304,502,France,Female,42,8,143694.72,3,1,0,102538.413,1
15701354,699,France,Female,39,1,0,2,0,0,84443.967,0
15737888,850,Spain,Female,43,2,112959.738,1,1,1,71175.69,0
15574012,645,Spain,Male,44,8,102380.202,2,1,0,134781.039,1
15592531,822,France,,50,7,0,2,1,1,9056.52,0
15656148,376,Germany,Female,29,4,103542.066,4,1,0,107412.192,1
15792365,501,France,Male,44,4,127845.963,2,0,1,67446.45,0
15592389,684,France,Male,27,2,121143.492,1,1,1,64553.157,0
15767821,528,France,Male,,6,91815.048,2,0,0,72163.008,0
15737173,497,Spain,Male,,3,0,2,1,0,68751.009,0
15632264,476,France,Female,,10,0,2,1,0,23634.882,0
15691483,549,France,Female,25,5,0,2,0,0,171772.011,0
15600882,635,Spain,Female,35,7,0,2,1,1,59356.485,0
15643966,616,Germany,Male,45,3,128816.469,2,0,1,57894.534,0
15737452,653,Germany,Male,58,1,119342.592,1,1,0,4587.903,1
15788218,549,Spain,Female,24,9,0,2,1,1,12965.769,0
15661507,587,Spain,Male,45,6,0,1,0,0,142816.329,0
15568982,726,France,Female,24,6,0,2,1,1,49251.627,0
15577657,732,France,Male,41,8,0,2,1,1,153797.553,0
15597945,636,Spain,Female,32,8,0,2,1,0,124699.914,0
15699309,510,Spain,Female,38,4,0,1,1,0,107022.177,1
15725737,669,France,Male,46,3,0,2,0,1,7638.975,0
15625047,846,France,Female,38,5,0,1,1,1,168854.544,0
15738191,577,France,Male,25,3,0,2,0,1,112057.461,0
15736816,756,Germany,Male,36,2,123134.076,1,1,1,153037.755,0
15700772,571,France,Male,44,9,0,2,0,0,34590.015,0
15728693,574,Germany,Female,43,3,127214.487,1,1,1,90168.687,0
15656300,411,France,Male,29,0,53727.453,2,1,1,48134.889,0
15589475,591,Spain,Female,39,3,0,3,1,0,126422.442,1
15706552,533,France,Male,36,7,76780.53,1,0,1,141058.719,0
15750181,553,Germany,Male,41,9,99101.286,2,0,0,73708.929,0
15659428,520,Spain,Female,42,6,0,2,1,1,30969.495,0
15732963,722,Spain,Female,29,9,0,2,1,1,127829.763,0
15794171,475,France,Female,45,0,120837.636,1,1,0,25040.691,1
15788448,490,Spain,Male,31,3,130734.207,1,0,1,102660.093,0
15729599,804,Spain,Male,,7,68893.74,1,0,1,88608.105,0
15717426,850,France,Male,,7,0,1,1,1,36731.61,0
15585768,582,Germany,Male,,6,63314.532,2,0,1,160266.636,0
15619360,472,Spain,Male,40,4,0,1,1,0,63138.798,0
15738148,465,France,Female,51,8,110270.088,1,0,0,163167.885,1
15687946,556,France,Female,61,2,105677.415,1,1,1,84738.447,0
15755196,834,France,Female,49,2,118255.104,1,0,0,174929.184,1
15684171,660,Spain,Female,61,5,140337.999,1,1,1,142504.551,0
15754849,776,Germany,Female,32,4,98479.017,2,1,1,113865.714,0
15602280,829,Germany,Female,27,9,100841.103,1,1,1,107737.389,1
15771573,637,Germany,Female,39,9,124059.42,1,1,1,105860.52,1
15766205,550,Germany,Male,38,2,93052.242,1,0,1,81790.317,0
15771873,776,Germany,Female,37,2,93392.298,2,1,0,174689.208,0
15616550,698,Germany,Male,44,10,104727.033,2,1,0,178253.244,0
15768193,585,Germany,Male,36,5,131445.873,2,0,0,77782.113,0
15683553,788,France,Female,33,5,0,2,0,0,105280.371,0
15702298,655,Germany,Male,41,8,113005.773,1,0,0,147636.846,1
15569590,601,Germany,Male,42,1,88646.148,1,1,0,36013.284,1
15760861,619,France,Male,43,1,112690.728,1,1,1,102069.441,0
15630053,656,France,Male,45,5,115077.96,1,1,0,78396.813,0
